gender,math score,reading score,writing score
male,78,72,70
female,85,90,88
male,60,65,62
female,95,92,96
male,40,50,45
female,70,75,72
male,88,85,87
female,76,80,78
male,90,88,85
female,55,60,58
male,67,70,65
female,82,85,84
male,73,68,70
female,91,93,92
male,50,55,52
female,77,79,80
male,84,82,83
female,69,72,71
male,92,90,91
female,58,62,60
male,65,67,66
female,88,89,90
male,72,75,73
female,94,96,95
male,45,48,47
female,74,78,76
male,81,79,80
female,66,70,68
male,89,87,88
female,53,57,55
male,68,70,69
female,83,86,85
male,74,72,73
female,92,94,93
male,48,52,50
female,75,77,76
male,86,84,85
female,71,74,73
male,91,89,90
female,60,64,62
male,66,68,67
female,87,88,89
male,70,73,71
female,93,95,94
male,52,56,54
female,78,80,79
male,83,81,82
female,67,69,68
male,90,91,89
female,59,63,61
male,64,66,65
female,86,87,88
male,71,74,72
female,95,97,96
male,49,53,51
female,76,79,78
male,82,80,81
female,68,71,70
male,88,89,87
female,57,61,59
male,69,71,70
female,84,86,85
male,75,73,74
female,91,92,93
male,46,49,48
female,77,78,79
male,85,83,84
female,70,72,71
male,92,93,91
female,61,65,63
male,67,69,68
female,89,90,91
male,73,76,74
female,94,95,96
male,51,54,53
female,79,81,80
male,84,82,83
female,69,73,71
male,91,92,90
female,58,62,60
male,65,68,66
female,88,90,89
male,72,74,73
female,93,94,95
male,47,50,49
female,75,77,76
male,81,83,82
female,66,69,68
male,89,91,90
female,55,59,57
male,68,71,69
female,85,87,86
male,74,76,75
female,92,93,94
male,50,52,51
female,78,80,79
male,83,85,84
female,67,70,69
male,90,92,91
female,60,63,62
male,66,69,67
female,87,89,88
male,71,73,72
female,94,96,95
male,48,51,50
female,76,78,77
male,82,84,83
female,68,72,70
male,88,90,89
female,57,60,59
male,69,72,70
female,84,87,85
male,75,77,76
female,91,93,92
male,46,48,47
female,77,79,78
male,85,87,86
female,70,73,71
male,92,94,93
female,61,64,63
male,67,70,68
female,89,91,90
male,73,75,74
female,95,97,96
male,51,53,52
female,79,82,80
male,84,86,85
female,69,72,71
male,91,93,92
female,58,61,60
male,65,67,66
female,88,89,90
male,72,74,73
female,93,95,94
male,47,49,48
female,75,78,76
male,81,83,82
female,66,68,67
male,89,90,91
female,55,58,57
